"2","Africa","14","Eastern Africa","108","bi","Burundi","",""
"2","Africa","14","Eastern Africa","174","km","Comoros","",""
"2","Africa","14","Eastern Africa","262","dj","Djibouti","",""
"2","Africa","14","Eastern Africa","232","er","Eritrea","",""
"2","Africa","14","Eastern Africa","231","et","Ethiopia","",""
"2","Africa","14","Eastern Africa","404","ke","Kenya","",""
"2","Africa","14","Eastern Africa","450","mg","Madagascar","",""
"2","Africa","14","Eastern Africa","454","mw","Malawi","",""
"2","Africa","14","Eastern Africa","480","mu","Mauritius","",""
"2","Africa","14","Eastern Africa","175","yt","Mayotte","",""
"2","Africa","14","Eastern Africa","508","mz","Mozambique","",""
"2","Africa","14","Eastern Africa","638","re","Reunion","",""
"2","Africa","14","Eastern Africa","646","rw","Rwanda","",""
"2","Africa","14","Eastern Africa","690","sc","Seychelles","",""
"2","Africa","14","Eastern Africa","706","so","Somalia","",""
"2","Africa","14","Eastern Africa","800","ug","Uganda","",""
"2","Africa","14","Eastern Africa","834","tz","United Republic of Tanzania","",""
"2","Africa","14","Eastern Africa","894","zm","Zambia","Central","Chibombo"
"2","Africa","14","Eastern Africa","894","zm","Zambia","Central","Kabwe"
"2","Africa","14","Eastern Africa","894","zm","Zambia","Central","Kapiri Mposhi"
"2","Africa","14","Eastern Africa","894","zm","Zambia","Central","Mkushi"
"2","Africa","14","Eastern Africa","894","zm","Zambia","Central","Mumbwa"
"2","Africa","14","Eastern Africa","894","zm","Zambia","Central","Serenje"
"2","Africa","14","Eastern Africa","894","zm","Zambia","Copperbelt","Chililabombwe"
"2","Africa","14","Eastern Africa","894","zm","Zambia","Copperbelt","Chingola"
"2","Africa","14","Eastern Africa","894","zm","Zambia","Copperbelt","Kalulushi"
"2","Africa","14","Eastern Africa","894","zm","Zambia","Copperbelt","Kitwe"
"2","Africa","14","Eastern Africa","894","zm","Zambia","Copperbelt","Luanshya"
"2","Africa","14","Eastern Africa","894","zm","Zambia","Copperbelt","Lufwanyama"
"2","Africa","14","Eastern Africa","894","zm","Zambia","Copperbelt","Masaiti"
"2","Africa","14","Eastern Africa","894","zm","Zambia","Copperbelt","Mpongwe"
"2","Africa","14","Eastern Africa","894","zm","Zambia","Copperbelt","Mufulira"
"2","Africa","14","Eastern Africa","894","zm","Zambia","Copperbelt","Ndola"
"2","Africa","14","Eastern Africa","894","zm","Zambia","Eastern","Chadiza"
